TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
11:51:23.539,0.99256694,-0.08367466,-0.050140206,0.48026,0.7820079,-0.051412564,-0.3709257,0.47987056,0.6070995,0.12112234,0.3957318,0.49859208,0.7580274,0.18310793,0.73828304,0.20586058,0.29903102,-0.043875873,0.55389065,0.31728125,811.9048,804.2491,806.6667,810.293,821.978,-0.16741943359375,0.0567626953125,0.97760009765625,2.235565185546875,-3.521575927734375,0.456085205078125,1.0,1.0,1.0,1.0,1.0,85.0,event
11:51:23.540,0.99256694,-0.08367466,-0.050140206,0.48026,0.7820079,-0.051412564,-0.3709257,0.47987056,0.6070995,0.12112234,0.3957318,0.49859208,0.7580274,0.18310793,0.73828304,0.20586058,0.29903102,-0.043875873,0.55389065,0.31728125,801.02563,805.8608,834.87177,804.65204,729.304,-0.16741943359375,0.0567626953125,0.97760009765625,2.235565185546875,-3.521575927734375,0.456085205078125,1.0,1.0,1.0,1.0,1.0,85.0,event
11:51:23.540,0.99256694,-0.08367466,-0.050140206,0.48026,0.7820079,-0.051412564,-0.3709257,0.47987056,0.6070995,0.12112234,0.3957318,0.49859208,0.7580274,0.18310793,0.73828304,0.20586058,0.29903102,-0.043875873,0.55389065,0.31728125,807.8755,807.8755,816.7399,807.0696,841.7216,-0.16741943359375,0.0567626953125,0.97760009765625,2.235565185546875,-3.521575927734375,0.456085205078125,1.0,1.0,1.0,1.0,1.0,85.0,event
11:51:23.541,0.9945817,-0.25932014,-0.050140206,0.52838683,0.79381615,-0.070896246,-0.3709257,0.52390456,0.64270115,0.106559,0.3957318,0.60565907,0.72745913,0.19606741,0.73828304,0.22784843,0.26438,-0.04525914,0.55389065,0.2932603,792.1612,799.81683,834.87177,802.6374,730.10986,-0.16741943359375,0.0567626953125,0.97760009765625,2.235565185546875,-3.521575927734375,0.456085205078125,1.0,1.0,1.0,1.0,1.0,85.0,event
11:51:23.545,0.9945817,-0.25932014,-0.050140206,0.52838683,0.79381615,-0.070896246,-0.3709257,0.52390456,0.64270115,0.106559,0.3957318,0.60565907,0.72745913,0.19606741,0.73828304,0.22784843,0.26438,-0.04525914,0.55389065,0.2932603,795.78754,801.02563,814.3223,793.7729,795.78754,-0.16741943359375,0.0567626953125,0.97760009765625,2.235565185546875,-3.521575927734375,0.456085205078125,1.0,1.0,1.0,1.0,1.0,85.0,event
11:51:23.546,0.9945817,-0.25932014,-0.050140206,0.52838683,0.79381615,-0.070896246,-0.3709257,0.52390456,0.64270115,0.106559,0.3957318,0.60565907,0.72745913,0.19606741,0.73828304,0.22784843,0.26438,-0.04525914,0.55389065,0.2932603,804.65204,802.6374,820.7692,793.7729,849.3773,-0.16741943359375,0.0567626953125,0.97760009765625,2.235565185546875,-3.521575927734375,0.456085205078125,1.0,1.0,1.0,1.0,1.0,85.0,event
11:51:23.547,0.9945817,-0.25932014,-0.050140206,0.52838683,0.79381615,-0.070896246,-0.3709257,0.52390456,0.64270115,0.106559,0.3957318,0.60565907,0.72745913,0.19606741,0.73828304,0.22784843,0.26438,-0.04525914,0.55389065,0.2932603,804.65204,803.0403,826.8132,799.41394,935.2015,-0.16741943359375,0.0567626953125,0.97760009765625,2.235565185546875,-3.521575927734375,0.456085205078125,1.0,1.0,1.0,1.0,1.0,85.0,event
11:51:23.547,0.9945817,-0.25932014,-0.050140206,0.52838683,0.79381615,-0.070896246,-0.3709257,0.52390456,0.64270115,0.106559,0.3957318,0.60565907,0.72745913,0.19606741,0.73828304,0.22784843,0.26438,-0.04525914,0.55389065,0.2932603,796.5934,805.8608,838.9011,799.011,808.68134,-0.16741943359375,0.0567626953125,0.97760009765625,2.235565185546875,-3.521575927734375,0.456085205078125,1.0,1.0,1.0,1.0,1.0,85.0,event
11:51:23.548,0.9945817,-0.25932014,-0.050140206,0.52838683,0.79381615,-0.070896246,-0.3709257,0.52390456,0.64270115,0.106559,0.3957318,0.60565907,0.72745913,0.19606741,0.73828304,0.22784843,0.26438,-0.04525914,0.55389065,0.2932603,789.7436,810.696,758.315,805.8608,829.2308,-0.16741943359375,0.0567626953125,0.97760009765625,2.235565185546875,-3.521575927734375,0.456085205078125,1.0,1.0,1.0,1.0,1.0,85.0,event
11:51:23.549,0.9945817,-0.25932014,-0.050140206,0.52838683,0.79381615,-0.070896246,-0.3709257,0.52390456,0.64270115,0.106559,0.3957318,0.60565907,0.72745913,0.19606741,0.73828304,0.22784843,0.26438,-0.04525914,0.55389065,0.2932603,802.6374,819.15753,827.619,813.5165,969.85345,-0.16741943359375,0.0567626953125,0.97760009765625,2.235565185546875,-3.521575927734375,0.456085205078125,1.0,1.0,1.0,1.0,1.0,85.0,event
