TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
09:30:56.564,0.9621769,0.345283,-0.05293504,0.91302025,0.6628976,-0.019040016,-0.314653,0.5223951,0.6206544,0.3108143,-0.2225648,0.5796186,0.48100746,0.122740775,-0.02915536,0.44831413,0.47124296,-0.16390938,-0.021767503,0.53263843,796.1905,817.1429,793.7729,784.10254,896.1172,-0.0223388671875,0.07305908203125,0.98663330078125,1.428070068359375,-2.1234130859375,0.201873779296875,1.0,1.0,1.0,1.0,1.0,85.0,event
09:30:56.565,0.9621769,0.345283,-0.05293504,0.91302025,0.6628976,-0.019040016,-0.314653,0.5223951,0.6206544,0.3108143,-0.2225648,0.5796186,0.48100746,0.122740775,-0.02915536,0.44831413,0.47124296,-0.16390938,-0.021767503,0.53263843,792.1612,817.5458,801.4286,780.07324,693.44324,-0.0223388671875,0.07305908203125,0.98663330078125,1.428070068359375,-2.1234130859375,0.201873779296875,1.0,1.0,1.0,1.0,1.0,85.0,event
09:30:56.566,0.9621769,0.345283,-0.05293504,0.91302025,0.6628976,-0.019040016,-0.314653,0.5223951,0.6206544,0.3108143,-0.2225648,0.5796186,0.48100746,0.122740775,-0.02915536,0.44831413,0.47124296,-0.16390938,-0.021767503,0.53263843,789.7436,813.91943,806.6667,790.54944,681.3553,-0.0223388671875,0.07305908203125,0.98663330078125,1.428070068359375,-2.1234130859375,0.201873779296875,1.0,1.0,1.0,1.0,1.0,85.0,event
09:30:56.566,0.95400715,0.45115077,0.07561928,0.91302025,0.6831998,0.04708128,-0.23328577,0.5223951,0.61434704,0.5873382,-0.12541455,0.5796186,0.4885595,0.13902941,-0.008662331,0.44831413,0.4900691,-0.14094502,-0.0054965666,0.53263843,790.9524,815.12823,799.011,791.3553,865.4945,-0.0223388671875,0.07305908203125,0.98663330078125,1.428070068359375,-2.1234130859375,0.201873779296875,1.0,1.0,1.0,1.0,1.0,85.0,event
09:30:56.571,0.95400715,0.45115077,0.07561928,0.91302025,0.6831998,0.04708128,-0.23328577,0.5223951,0.61434704,0.5873382,-0.12541455,0.5796186,0.4885595,0.13902941,-0.008662331,0.44831413,0.4900691,-0.14094502,-0.0054965666,0.53263843,788.93774,815.9341,793.7729,776.4469,743.00366,-0.0223388671875,0.07305908203125,0.98663330078125,1.428070068359375,-2.1234130859375,0.201873779296875,1.0,1.0,1.0,1.0,1.0,85.0,event
09:30:56.572,0.95400715,0.45115077,0.07561928,0.91302025,0.6831998,0.04708128,-0.23328577,0.5223951,0.61434704,0.5873382,-0.12541455,0.5796186,0.4885595,0.13902941,-0.008662331,0.44831413,0.4900691,-0.14094502,-0.0054965666,0.53263843,782.0879,814.3223,799.81683,770.40295,721.2454,-0.0223388671875,0.07305908203125,0.98663330078125,1.428070068359375,-2.1234130859375,0.201873779296875,1.0,1.0,1.0,1.0,1.0,85.0,event
09:30:56.573,0.95400715,0.45115077,0.07561928,0.91302025,0.6831998,0.04708128,-0.23328577,0.5223951,0.61434704,0.5873382,-0.12541455,0.5796186,0.4885595,0.13902941,-0.008662331,0.44831413,0.4900691,-0.14094502,-0.0054965666,0.53263843,787.72894,815.12823,801.4286,751.06226,898.1319,-0.0223388671875,0.07305908203125,0.98663330078125,1.428070068359375,-2.1234130859375,0.201873779296875,1.0,1.0,1.0,1.0,1.0,85.0,event
09:30:56.574,0.95400715,0.45115077,0.07561928,0.91302025,0.6831998,0.04708128,-0.23328577,0.5223951,0.61434704,0.5873382,-0.12541455,0.5796186,0.4885595,0.13902941,-0.008662331,0.44831413,0.4900691,-0.14094502,-0.0054965666,0.53263843,780.07324,808.68134,799.81683,761.53845,1031.5018,-0.0223388671875,0.07305908203125,0.98663330078125,1.428070068359375,-2.1234130859375,0.201873779296875,1.0,1.0,1.0,1.0,1.0,85.0,event
09:30:56.574,0.95400715,0.45115077,0.07561928,0.91302025,0.6831998,0.04708128,-0.23328577,0.5223951,0.61434704,0.5873382,-0.12541455,0.5796186,0.4885595,0.13902941,-0.008662331,0.44831413,0.4900691,-0.14094502,-0.0054965666,0.53263843,774.43225,810.293,801.02563,753.0769,948.9011,-0.0223388671875,0.07305908203125,0.98663330078125,1.428070068359375,-2.1234130859375,0.201873779296875,1.0,1.0,1.0,1.0,1.0,85.0,event
09:30:56.575,0.95400715,0.45115077,0.07561928,0.91302025,0.6831998,0.04708128,-0.23328577,0.5223951,0.61434704,0.5873382,-0.12541455,0.5796186,0.4885595,0.13902941,-0.008662331,0.44831413,0.4900691,-0.14094502,-0.0054965666,0.53263843,765.56775,816.337,797.3993,731.31866,803.44324,-0.0223388671875,0.07305908203125,0.98663330078125,1.428070068359375,-2.1234130859375,0.201873779296875,1.0,1.0,1.0,1.0,1.0,85.0,event
