TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
12:07:32.029,0.06663847,0.23238236,0.3585263,0.61881715,-0.18903156,0.24277715,-0.014760231,0.3518432,0.094479844,-0.36380345,0.049582746,0.20241216,0.79240566,0.3192161,0.10935099,1.0752418,0.84176075,-0.07810468,0.20852543,0.71866065,816.337,809.0842,792.96704,808.68134,810.293,-0.0767822265625,0.1292724609375,0.95513916015625,4.88983154296875,-28.04550170898437,3.192596435546875,1.0,1.0,1.0,1.0,1.0,90.0,event
12:07:32.030,0.06663847,0.23238236,0.3585263,0.61881715,-0.18903156,0.24277715,-0.014760231,0.3518432,0.094479844,-0.36380345,0.049582746,0.20241216,0.79240566,0.3192161,0.10935099,1.0752418,0.84176075,-0.07810468,0.20852543,0.71866065,813.91943,816.7399,784.90845,819.5604,788.93774,-0.0767822265625,0.1292724609375,0.95513916015625,4.88983154296875,-28.04550170898437,3.192596435546875,1.0,1.0,1.0,1.0,1.0,90.0,event
12:07:32.031,0.06663847,0.23238236,0.3585263,0.61881715,-0.18903156,0.24277715,-0.014760231,0.3518432,0.094479844,-0.36380345,0.049582746,0.20241216,0.79240566,0.3192161,0.10935099,1.0752418,0.84176075,-0.07810468,0.20852543,0.71866065,803.0403,812.71063,794.9817,813.91943,838.49817,-0.0767822265625,0.1292724609375,0.95513916015625,4.88983154296875,-28.04550170898437,3.192596435546875,1.0,1.0,1.0,1.0,1.0,90.0,event
12:07:32.031,0.06663847,0.23238236,0.3585263,0.61881715,-0.18903156,0.24277715,-0.014760231,0.3518432,0.094479844,-0.36380345,0.049582746,0.20241216,0.79240566,0.3192161,0.10935099,1.0752418,0.84176075,-0.07810468,0.20852543,0.71866065,782.49084,799.81683,811.50183,802.6374,826.8132,-0.0767822265625,0.1292724609375,0.95513916015625,4.88983154296875,-28.04550170898437,3.192596435546875,1.0,1.0,1.0,1.0,1.0,90.0,event
12:07:32.032,0.06663847,0.23238236,0.3585263,0.61881715,-0.18903156,0.24277715,-0.014760231,0.3518432,0.094479844,-0.36380345,0.049582746,0.20241216,0.79240566,0.3192161,0.10935099,1.0752418,0.84176075,-0.07810468,0.20852543,0.71866065,767.5824,801.4286,805.8608,784.10254,735.7509,-0.0767822265625,0.1292724609375,0.95513916015625,4.88983154296875,-28.04550170898437,3.192596435546875,1.0,1.0,1.0,1.0,1.0,90.0,event
12:07:32.033,0.06663847,0.22256579,0.3585263,0.61881715,-0.18903156,0.2682361,-0.014760231,0.3518432,0.094479844,-0.3855265,0.049582746,0.20241216,0.79240566,0.33670104,0.10935099,1.0752418,0.84176075,-0.07450377,0.20852543,0.71866065,766.77655,806.26373,799.81683,782.49084,768.7912,-0.0767822265625,0.1292724609375,0.95513916015625,4.88983154296875,-28.04550170898437,3.192596435546875,1.0,1.0,1.0,1.0,1.0,90.0,event
12:07:32.037,0.06663847,0.22256579,0.3585263,0.61881715,-0.18903156,0.2682361,-0.014760231,0.3518432,0.094479844,-0.3855265,0.049582746,0.20241216,0.79240566,0.33670104,0.10935099,1.0752418,0.84176075,-0.07450377,0.20852543,0.71866065,763.5531,811.50183,797.3993,796.5934,985.9707,-0.0767822265625,0.1292724609375,0.95513916015625,4.88983154296875,-28.04550170898437,3.192596435546875,1.0,1.0,1.0,1.0,1.0,90.0,event
12:07:32.038,0.06663847,0.22256579,0.3585263,0.61881715,-0.18903156,0.2682361,-0.014760231,0.3518432,0.094479844,-0.3855265,0.049582746,0.20241216,0.79240566,0.33670104,0.10935099,1.0752418,0.84176075,-0.07450377,0.20852543,0.71866065,763.5531,811.50183,790.9524,786.1172,917.47253,-0.0767822265625,0.1292724609375,0.95513916015625,4.88983154296875,-28.04550170898437,3.192596435546875,1.0,1.0,1.0,1.0,1.0,90.0,event
12:07:32.038,0.06663847,0.22256579,0.3585263,0.61881715,-0.18903156,0.2682361,-0.014760231,0.3518432,0.094479844,-0.3855265,0.049582746,0.20241216,0.79240566,0.33670104,0.10935099,1.0752418,0.84176075,-0.07450377,0.20852543,0.71866065,786.52014,807.0696,785.7143,784.10254,711.978,-0.0767822265625,0.1292724609375,0.95513916015625,4.88983154296875,-28.04550170898437,3.192596435546875,1.0,1.0,1.0,1.0,1.0,90.0,event
12:07:32.039,0.06663847,0.22256579,0.3585263,0.61881715,-0.18903156,0.2682361,-0.014760231,0.3518432,0.094479844,-0.3855265,0.049582746,0.20241216,0.79240566,0.33670104,0.10935099,1.0752418,0.84176075,-0.07450377,0.20852543,0.71866065,795.38464,806.6667,788.1319,775.64105,777.25275,-0.0767822265625,0.1292724609375,0.95513916015625,4.88983154296875,-28.04550170898437,3.192596435546875,1.0,1.0,1.0,1.0,1.0,90.0,event
