TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
11:55:41.376,0.9205833,-0.11389003,0.1676578,1.3057352,0.69339377,-0.17399412,-0.24775341,0.86603546,0.5408276,0.3949297,0.33468604,1.0052634,1.3878596,1.2527049,1.061204,1.3708065,1.0673292,1.0256242,0.64184916,1.0029768,828.4249,803.8461,799.41394,832.0513,701.50183,-0.0684814453125,0.11871337890625,0.97796630859375,1.435546875,-3.730926513671875,0.79254150390625,1.0,1.0,1.0,1.0,1.0,100.0,event
11:55:41.376,0.9205833,-0.11389003,0.1676578,1.3057352,0.69339377,-0.17399412,-0.24775341,0.86603546,0.5408276,0.3949297,0.33468604,1.0052634,1.3878596,1.2527049,1.061204,1.3708065,1.0673292,1.0256242,0.64184916,1.0029768,823.1868,819.15753,807.8755,832.0513,680.54944,-0.0684814453125,0.11871337890625,0.97796630859375,1.435546875,-3.730926513671875,0.79254150390625,1.0,1.0,1.0,1.0,1.0,100.0,event
11:55:41.377,0.9205833,-0.11389003,0.1676578,1.3057352,0.69339377,-0.17399412,-0.24775341,0.86603546,0.5408276,0.3949297,0.33468604,1.0052634,1.3878596,1.2527049,1.061204,1.3708065,1.0673292,1.0256242,0.64184916,1.0029768,838.49817,819.5604,803.0403,850.58606,954.5421,-0.0684814453125,0.11871337890625,0.97796630859375,1.435546875,-3.730926513671875,0.79254150390625,1.0,1.0,1.0,1.0,1.0,100.0,event
11:55:41.377,0.9205833,-0.11389003,0.1676578,1.3057352,0.69339377,-0.17399412,-0.24775341,0.86603546,0.5408276,0.3949297,0.33468604,1.0052634,1.3878596,1.2527049,1.061204,1.3708065,1.0673292,1.0256242,0.64184916,1.0029768,856.63007,813.5165,802.6374,860.2564,916.6667,-0.0684814453125,0.11871337890625,0.97796630859375,1.435546875,-3.730926513671875,0.79254150390625,1.0,1.0,1.0,1.0,1.0,100.0,event
11:55:41.378,0.9205833,-0.07598474,0.20426196,1.3057352,0.69339377,-0.12955739,-0.23519494,0.86603546,0.5408276,0.39187697,0.33468604,1.0052634,1.3878596,1.2464333,1.031281,1.3708065,1.0673292,1.0390182,0.6375466,1.0029768,863.47986,792.5641,816.7399,869.12085,747.03296,-0.0684814453125,0.11871337890625,0.97796630859375,1.435546875,-3.730926513671875,0.79254150390625,1.0,1.0,1.0,1.0,1.0,100.0,event
11:55:41.407,0.9205833,-0.07598474,0.20426196,1.3057352,0.69339377,-0.12955739,-0.23519494,0.86603546,0.5408276,0.39187697,0.33468604,1.0052634,1.3878596,1.2464333,1.031281,1.3708065,1.0673292,1.0390182,0.6375466,1.0029768,861.4652,797.3993,811.9048,884.0293,829.2308,-0.0694580078125,0.11529541015625,0.9739990234375,2.16827392578125,-4.08233642578125,0.246734619140625,1.0,1.0,1.0,1.0,1.0,100.0,event
11:55:41.408,0.9205833,-0.07598474,0.20426196,1.3057352,0.69339377,-0.12955739,-0.23519494,0.86603546,0.5408276,0.39187697,0.33468604,1.0052634,1.3878596,1.2464333,1.031281,1.3708065,1.0673292,1.0390182,0.6375466,1.0029768,891.28204,816.337,805.4579,899.7436,913.0403,-0.0694580078125,0.11529541015625,0.9739990234375,2.16827392578125,-4.08233642578125,0.246734619140625,1.0,1.0,1.0,1.0,1.0,100.0,event
11:55:41.409,0.9205833,-0.07598474,0.20426196,1.3057352,0.69339377,-0.12955739,-0.23519494,0.86603546,0.5408276,0.39187697,0.33468604,1.0052634,1.3878596,1.2464333,1.031281,1.3708065,1.0673292,1.0390182,0.6375466,1.0029768,893.2967,808.68134,805.8608,885.64105,790.9524,-0.0694580078125,0.11529541015625,0.9739990234375,2.16827392578125,-4.08233642578125,0.246734619140625,1.0,1.0,1.0,1.0,1.0,100.0,event
11:55:41.409,0.9205833,-0.07598474,0.20426196,1.3057352,0.69339377,-0.12955739,-0.23519494,0.86603546,0.5408276,0.39187697,0.33468604,1.0052634,1.3878596,1.2464333,1.031281,1.3708065,1.0673292,1.0390182,0.6375466,1.0029768,864.68866,786.52014,803.44324,860.65936,689.011,-0.0694580078125,0.11529541015625,0.9739990234375,2.16827392578125,-4.08233642578125,0.246734619140625,1.0,1.0,1.0,1.0,1.0,100.0,event
11:55:41.410,0.9205833,-0.07598474,0.20426196,1.3057352,0.69339377,-0.12955739,-0.23519494,0.86603546,0.5408276,0.39187697,0.33468604,1.0052634,1.3878596,1.2464333,1.031281,1.3708065,1.0673292,1.0390182,0.6375466,1.0029768,872.74725,799.41394,821.5751,876.77655,894.90845,-0.0694580078125,0.11529541015625,0.9739990234375,2.16827392578125,-4.08233642578125,0.246734619140625,1.0,1.0,1.0,1.0,1.0,100.0,event
