TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
11:21:41.556,1.6509036,0.0,0.0,0.0,1.8966944,0.0,0.0,0.0,2.064785,0.0,0.0,0.0,1.374154,0.0,0.0,0.0,0.6937408,0.0,0.0,0.0,574.9817,998.0586,824.3956,0.0,697.47253,-0.213134765625,0.0697021484375,0.95721435546875,2.61688232421875,0.897216796875,-4.18701171875,1.0,2.0,4.0,1.0,4.0,100.0,event
11:21:41.557,1.6509036,0.0,0.0,0.0,1.8966944,0.0,0.0,0.0,2.064785,0.0,0.0,0.0,1.374154,0.0,0.0,0.0,0.6937408,0.0,0.0,0.0,446.84982,1030.6959,820.3663,32.637363,720.84247,-0.213134765625,0.0697021484375,0.95721435546875,2.61688232421875,0.897216796875,-4.18701171875,1.0,2.0,4.0,1.0,4.0,100.0,event
11:21:41.558,1.6509036,0.0,0.0,0.0,1.8966944,0.0,0.0,0.0,2.064785,0.0,0.0,0.0,1.374154,0.0,0.0,0.0,0.6937408,0.0,0.0,0.0,755.4945,870.32965,801.8315,252.23444,798.20514,-0.213134765625,0.0697021484375,0.95721435546875,2.61688232421875,0.897216796875,-4.18701171875,1.0,2.0,4.0,1.0,4.0,100.0,event
11:21:41.558,1.6509036,0.0,0.0,0.0,1.8966944,0.0,0.0,0.0,2.064785,0.0,0.0,0.0,1.374154,0.0,0.0,0.0,0.6937408,0.0,0.0,0.0,554.43225,872.74725,799.81683,0.0,791.75824,-0.213134765625,0.0697021484375,0.95721435546875,2.61688232421875,0.897216796875,-4.18701171875,1.0,2.0,4.0,1.0,4.0,100.0,event
11:21:41.559,1.6509036,0.0,0.0,0.0,1.8966944,0.0,0.0,0.0,2.064785,0.0,0.0,0.0,1.374154,0.0,0.0,0.0,0.6937408,0.0,0.0,0.0,760.7326,810.696,781.28204,542.74725,830.0366,-0.213134765625,0.0697021484375,0.95721435546875,2.61688232421875,0.897216796875,-4.18701171875,1.0,2.0,4.0,1.0,4.0,100.0,event
11:21:41.560,1.6509036,0.0,0.0,0.0,1.8966944,0.0,0.0,0.0,2.064785,0.0,0.0,0.0,1.374154,0.0,0.0,0.0,0.6937408,0.0,0.0,0.0,557.25275,663.6264,794.17584,34.652016,793.7729,-0.213134765625,0.0697021484375,0.95721435546875,2.61688232421875,0.897216796875,-4.18701171875,1.0,2.0,4.0,1.0,4.0,100.0,event
11:21:41.560,1.6509036,0.0,0.0,0.0,1.8966944,0.0,0.0,0.0,2.064785,0.0,0.0,0.0,1.374154,0.0,0.0,0.0,0.6937408,0.0,0.0,0.0,445.64102,401.3187,802.23444,13.296703,960.18317,-0.213134765625,0.0697021484375,0.95721435546875,2.61688232421875,0.897216796875,-4.18701171875,1.0,2.0,4.0,1.0,4.0,100.0,event
11:21:41.561,1.6509036,0.0,0.0,0.0,1.8966944,0.0,0.0,0.0,2.064785,0.0,0.0,0.0,1.374154,0.0,0.0,0.0,0.6937408,0.0,0.0,0.0,540.7326,18.131868,790.9524,0.0,1124.1758,-0.213134765625,0.0697021484375,0.95721435546875,2.61688232421875,0.897216796875,-4.18701171875,1.0,2.0,4.0,1.0,4.0,100.0,event
11:21:41.562,1.6509036,0.0,0.0,0.0,1.8966944,0.0,0.0,0.0,2.064785,0.0,0.0,0.0,1.374154,0.0,0.0,0.0,0.6937408,0.0,0.0,0.0,777.6557,597.5458,851.39197,768.3883,859.85345,-0.213134765625,0.0697021484375,0.95721435546875,2.61688232421875,0.897216796875,-4.18701171875,1.0,2.0,4.0,1.0,4.0,100.0,event
11:21:41.562,1.6509036,0.0,0.0,0.0,1.8966944,0.0,0.0,0.0,2.064785,0.0,0.0,0.0,1.374154,0.0,0.0,0.0,0.6937408,0.0,0.0,0.0,828.022,1010.14655,844.1392,1633.0769,772.8205,-0.213134765625,0.0697021484375,0.95721435546875,2.61688232421875,0.897216796875,-4.18701171875,1.0,2.0,4.0,1.0,4.0,100.0,event
11:21:41.563,1.6509036,0.0,0.0,0.0,1.8966944,0.0,0.0,0.0,2.064785,0.0,0.0,0.0,1.374154,0.0,0.0,0.0,0.6937408,0.0,0.0,0.0,594.7253,761.53845,818.3516,413.8095,839.304,-0.213134765625,0.0697021484375,0.95721435546875,2.61688232421875,0.897216796875,-4.18701171875,1.0,2.0,4.0,1.0,4.0,100.0,event
11:21:41.564,1.6509036,0.0,0.0,0.0,1.8966944,0.0,0.0,0.0,2.064785,0.0,0.0,0.0,1.374154,0.0,0.0,0.0,0.6937408,0.0,0.0,0.0,500.03662,875.16486,839.707,0.0,725.2747,-0.213134765625,0.0697021484375,0.95721435546875,2.61688232421875,0.897216796875,-4.18701171875,1.0,2.0,4.0,1.0,4.0,100.0,event
11:21:41.593,1.6509036,0.0,0.0,0.0,1.8966944,0.0,0.0,0.0,2.064785,0.0,0.0,0.0,1.374154,0.0,0.0,0.0,0.6937408,0.0,0.0,0.0,673.2967,1069.3773,844.1392,0.0,662.01465,-0.226318359375,0.05499267578125,0.97198486328125,0.9869384765625,0.635528564453125,-5.076751708984375,1.0,2.0,4.0,1.0,4.0,100.0,event
11:21:41.595,1.6509036,0.0,0.0,0.0,1.8966944,0.0,0.0,0.0,2.064785,0.0,0.0,0.0,1.374154,0.0,0.0,0.0,0.6937408,0.0,0.0,0.0,854.21246,982.3443,803.0403,669.67035,761.13556,-0.226318359375,0.05499267578125,0.97198486328125,0.9869384765625,0.635528564453125,-5.076751708984375,1.0,2.0,4.0,1.0,4.0,100.0,event
11:21:41.596,1.6509036,0.0,0.0,0.0,1.8966944,0.0,0.0,0.0,2.064785,0.0,0.0,0.0,1.374154,0.0,0.0,0.0,0.6937408,0.0,0.0,0.0,863.47986,789.34064,786.1172,82.1978,906.99634,-0.226318359375,0.05499267578125,0.97198486328125,0.9869384765625,0.635528564453125,-5.076751708984375,1.0,2.0,4.0,1.0,4.0,100.0,event
11:21:41.596,1.6509036,0.0,0.0,0.0,1.8966944,0.0,0.0,0.0,2.064785,0.0,0.0,0.0,1.374154,0.0,0.0,0.0,0.6937408,0.0,0.0,0.0,625.7509,909.011,826.0073,1396.5568,892.49084,-0.226318359375,0.05499267578125,0.97198486328125,0.9869384765625,0.635528564453125,-5.076751708984375,1.0,2.0,4.0,1.0,4.0,100.0,event
11:21:41.597,1.6509036,0.0,0.0,0.0,1.8966944,0.0,0.0,0.0,2.064785,0.0,0.0,0.0,1.374154,0.0,0.0,0.0,0.6937408,0.0,0.0,0.0,465.3846,985.16486,831.6484,189.78021,740.989,-0.226318359375,0.05499267578125,0.97198486328125,0.9869384765625,0.635528564453125,-5.076751708984375,1.0,2.0,4.0,1.0,4.0,100.0,event
11:21:41.597,1.6509036,0.0,0.0,0.0,1.8966944,0.0,0.0,0.0,2.064785,0.0,0.0,0.0,1.374154,0.0,0.0,0.0,0.6937408,0.0,0.0,0.0,567.326,657.98535,790.54944,0.0,761.9414,-0.226318359375,0.05499267578125,0.97198486328125,0.9869384765625,0.635528564453125,-5.076751708984375,1.0,2.0,4.0,1.0,4.0,100.0,event
11:21:41.598,1.6509036,0.0,0.0,0.0,1.8966944,0.0,0.0,0.0,2.064785,0.0,0.0,0.0,1.374154,0.0,0.0,0.0,0.6937408,0.0,0.0,0.0,775.2381,226.04396,784.5055,1133.4432,1059.3041,-0.226318359375,0.05499267578125,0.97198486328125,0.9869384765625,0.635528564453125,-5.076751708984375,1.0,2.0,4.0,1.0,4.0,100.0,event
