TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
13:18:03.103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,776.8498,807.8755,1036.7399,784.10254,801.4286,-0.09075927734375,0.01287841796875,0.98480224609375,2.086029052734375,-3.21502685546875,1.36077880859375,0.0,4.0,4.0,4.0,4.0,90.0,event
13:18:03.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,838.49817,807.0696,1201.1355,798.60803,751.8681,-0.09075927734375,0.01287841796875,0.98480224609375,2.086029052734375,-3.21502685546875,1.36077880859375,0.0,4.0,4.0,4.0,4.0,90.0,event
13:18:03.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,883.6264,804.65204,977.50916,813.1135,781.685,-0.09075927734375,0.01287841796875,0.98480224609375,2.086029052734375,-3.21502685546875,1.36077880859375,0.0,4.0,4.0,4.0,4.0,90.0,event
13:18:03.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,847.76556,809.0842,826.8132,807.8755,851.79486,-0.09075927734375,0.01287841796875,0.98480224609375,2.086029052734375,-3.21502685546875,1.36077880859375,0.0,4.0,4.0,4.0,4.0,90.0,event
13:18:03.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,795.38464,807.47253,1058.4982,789.7436,761.13556,-0.09075927734375,0.01287841796875,0.98480224609375,2.086029052734375,-3.21502685546875,1.36077880859375,0.0,4.0,4.0,4.0,4.0,90.0,event
13:18:03.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,788.5348,808.2784,1042.7839,794.57874,792.1612,-0.09075927734375,0.01287841796875,0.98480224609375,2.086029052734375,-3.21502685546875,1.36077880859375,0.0,4.0,4.0,4.0,4.0,90.0,event
13:18:03.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825.6044,811.50183,954.94507,810.293,890.87915,-0.09075927734375,0.01287841796875,0.98480224609375,2.086029052734375,-3.21502685546875,1.36077880859375,0.0,4.0,4.0,4.0,4.0,90.0,event
13:18:03.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,879.19415,812.3077,1111.2821,813.1135,886.8498,-0.09075927734375,0.01287841796875,0.98480224609375,2.086029052734375,-3.21502685546875,1.36077880859375,0.0,4.0,4.0,4.0,4.0,90.0,event
13:18:03.110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,797.3993,812.71063,998.0586,795.38464,671.28204,-0.09075927734375,0.01287841796875,0.98480224609375,2.086029052734375,-3.21502685546875,1.36077880859375,0.0,4.0,4.0,4.0,4.0,90.0,event
13:18:03.110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,861.8681,811.50183,1115.7142,806.6667,806.26373,-0.09075927734375,0.01287841796875,0.98480224609375,2.086029052734375,-3.21502685546875,1.36077880859375,0.0,4.0,4.0,4.0,4.0,90.0,event
